area,cement_kg,steel_kg,labor_hours,location_index,total_cost
1660,344,49475,452,2,1625923
2094,312,49660,984,0,1942519
1930,345,45054,582,1,1833662
1895,317,44458,768,1,1835736
2438,332,45065,412,2,2233276
2969,320,43163,958,0,2622971
1266,315,48028,559,0,1204605
2038,314,47447,683,0,1835232
1130,353,46559,964,1,1272996
2282,356,44749,686,1,2074923
2935,304,47756,407,1,2603002
930,305,43948,471,1,1022348
2485,337,48306,497,1,2186234
1569,302,42059,486,2,1502502
2315,347,45102,500,2,2255639
2015,311,42332,680,0,1744656
1755,335,46171,688,0,1525837
1984,332,47874,595,1,1838201
1259,335,48460,790,0,1173297
821,332,49937,849,2,951882
1547,330,49584,767,2,1657049
1274,320,42189,829,0,1248558
1882,326,45560,495,1,1673887
2847,326,48008,660,2,2629427
1775,307,49482,911,0,1571637
2606,355,42295,520,1,2267841
989,336,44548,765,0,935359
1362,331,42176,731,1,1382996
2699,325,42799,451,1,2470489
2067,301,42805,795,2,2011267
2328,311,49003,717,2,2268198
1446,321,43742,676,0,1352305
2868,316,42214,996,0,2407132
2097,306,43879,593,1,1846637
1400,342,44700,420,2,1527884
2861,303,42596,798,1,2542499
1041,336,43717,601,1,1096825
2841,337,43355,865,1,2583825
2163,331,46223,550,1,1855169
2939,310,43292,558,1,2548526
2190,300,44598,709,1,2049592
2278,324,47654,903,0,1977075
1575,341,47873,425,2,1547932
834,351,45437,465,2,922089
2755,323,46714,662,1,2415195
2385,352,48491,871,1,2178312
1821,342,42141,566,1,1598355
1929,355,45216,553,2,1934649
2300,316,44839,742,2,2139254
1502,307,46340,812,1,1475362
2379,358,45513,583,2,2205007
961,344,44750,593,1,1062917
1001,326,47409,401,1,940421
2781,351,43714,614,1,2430418
1795,317,43135,986,0,1586506
1615,326,48357,882,2,1569130
1255,321,45721,960,2,1442076
2075,315,43909,431,2,1967955
1816,301,44247,414,1,1666028
1137,304,48548,717,0,1113579
1678,317,46516,642,1,1596706
1876,302,46102,416,1,1681509
1591,326,43548,933,1,1593036
1563,353,44639,480,0,1343189
1179,316,48429,835,1,1286460
1292,315,46766,407,1,1217322
1980,305,48532,686,0,1735341
2862,350,46511,585,1,2560579
864,306,44831,923,1,1112388
2167,349,43006,821,2,2068441
1952,313,47832,865,0,1694115
2827,337,45221,482,2,2567121
2295,339,45062,966,1,2113244
1962,314,46523,882,0,1801350
2322,346,49975,724,0,2034569
1191,346,45052,818,1,1182232
2498,347,49460,450,2,2348169
1218,332,46429,426,1,1273226
1178,342,44319,944,0,1112780
2596,326,49210,461,0,2206484
2888,328,45539,570,1,2435620
2982,356,44366,685,1,2626431
1000,336,49659,516,1,1040449
2663,304,42526,403,1,2323384
1579,328,44807,465,2,1582710
1302,331,43195,459,2,1315367
2551,359,43753,901,2,2506326
1604,352,43672,628,2,1610234
2946,305,48464,499,0,2415223
2695,301,48882,518,0,2277598
2370,305,49211,468,2,2255916
1760,345,47651,620,1,1681738
2285,342,44028,622,0,1948016
1828,303,43654,903,1,1851173
1302,355,46549,610,2,1382268
1197,328,46841,974,0,1087866
1670,358,46041,661,0,1520423
1192,324,47999,917,0,1151133
1006,308,47024,647,0,950600
1838,355,42847,656,2,1868075
2681,302,42867,462,0,2243535
2284,325,42773,791,2,2191418
1663,347,48226,939,0,1477696
1363,342,42542,816,2,1448482
1820,326,46417,452,2,1779590
895,335,42785,437,1,895034
2723,331,45305,707,2,2457411
2557,300,46635,452,1,2288238
2478,356,48395,851,0,2209863
1340,352,44883,860,1,1401088
1859,353,47884,885,2,1840361
1983,315,42448,536,1,1812562
2522,350,45310,771,0,2205813
2619,347,46585,655,1,2377938
2397,310,43905,794,2,2327136
1595,325,46559,436,2,1513465
1851,339,46409,546,0,1697698
2443,354,49342,407,0,1998010
